track_id,parent_genre_id,parent_genre_title
2,21,Hip-Hop
5,21,Hip-Hop
10,10,Pop
140,17,Folk
141,17,Folk
148,38,Experimental
182,12,Rock
190,17,Folk
193,17,Folk
194,17,Folk
197,17,Folk
200,17,Folk
203,17,Folk
204,17,Folk
207,17,Folk
210,17,Folk
211,17,Folk
212,17,Folk
213,10,Pop
255,12,Rock
256,12,Rock
368,12,Rock
424,38,Experimental
459,12,Rock
534,17,Folk
540,17,Folk
546,17,Folk
574,12,Rock
602,17,Folk
615,38,Experimental
620,17,Folk
621,17,Folk
625,17,Folk
666,2,International
667,2,International
676,21,Hip-Hop
690,12,Rock
694,21,Hip-Hop
695,21,Hip-Hop
704,2,International
705,2,International
706,2,International
707,2,International
708,2,International
709,2,International
714,17,Folk
715,17,Folk
716,17,Folk
718,17,Folk
777,12,Rock
814,17,Folk
821,10,Pop
822,10,Pop
825,12,Rock
853,2,International
890,17,Folk
892,17,Folk
897,38,Experimental
993,12,Rock
995,38,Experimental
997,38,Experimental
998,38,Experimental
1039,12,Rock
1040,12,Rock
1066,38,Experimental
1069,38,Experimental
1073,38,Experimental
1075,38,Experimental
1082,2,International
1083,38,Experimental
1087,12,Rock
1102,12,Rock
1193,17,Folk
1195,17,Folk
1196,17,Folk
1197,17,Folk
1249,38,Experimental
1259,38,Experimental
1270,12,Rock
1276,38,Experimental
1277,38,Experimental
1278,38,Experimental
1417,12,Rock
1427,12,Rock
1443,38,Experimental
1482,15,Electronic
1510,38,Experimental
1544,17,Folk
1642,10,Pop
1644,10,Pop
1649,10,Pop
1661,10,Pop
1663,10,Pop
1666,10,Pop
1673,38,Experimental
1680,2,International
1681,2,International
1682,2,International
1683,2,International
1684,2,International
1685,2,International
1686,2,International
1687,2,International
1688,2,International
1689,2,International
1701,17,Folk
1702,17,Folk
1703,17,Folk
1704,17,Folk
1706,12,Rock
1720,12,Rock
1732,38,Experimental
1733,38,Experimental
1735,38,Experimental
1736,38,Experimental
1883,12,Rock
1891,12,Rock
1893,17,Folk
1924,17,Folk
1925,17,Folk
1929,38,Experimental
1930,12,Rock
2012,38,Experimental
2096,38,Experimental
2097,17,Folk
2099,10,Pop
3263,17,Folk
3264,17,Folk
3265,17,Folk
3266,17,Folk
3270,17,Folk
3271,17,Folk
3272,17,Folk
3273,17,Folk
3274,17,Folk
3492,12,Rock
3532,10,Pop
3533,10,Pop
3534,10,Pop
3535,10,Pop
3537,10,Pop
3538,10,Pop
3573,15,Electronic
3598,17,Folk
3624,12,Rock
3707,17,Folk
3708,17,Folk
3720,12,Rock
3721,12,Rock
3722,12,Rock
3724,12,Rock
3725,12,Rock
3761,12,Rock
3762,12,Rock
3763,12,Rock
3765,12,Rock
3766,12,Rock
3775,2,International
3776,2,International
3777,2,International
3778,2,International
3779,2,International
3832,17,Folk
3833,12,Rock
3840,12,Rock
3880,17,Folk
3895,2,International
3896,2,International
3904,17,Folk
3905,17,Folk
3906,17,Folk
3908,17,Folk
3909,17,Folk
3910,17,Folk
3911,17,Folk
3912,17,Folk
3913,17,Folk
3920,17,Folk
3921,17,Folk
3950,12,Rock
4013,17,Folk
4017,17,Folk
4022,12,Rock
4037,17,Folk
4066,17,Folk
4067,17,Folk
4068,17,Folk
4069,17,Folk
4070,2,International
4071,2,International
4072,2,International
4073,2,International
4074,2,International
4075,2,International
4076,2,International
4077,2,International
4078,2,International
4079,2,International
4080,2,International
4091,2,International
4092,2,International
4093,2,International
4094,2,International
4095,2,International
4096,2,International
4097,2,International
4098,2,International
4099,2,International
4100,2,International
4101,2,International
4102,2,International
4103,2,International
4108,12,Rock
4232,2,International
4233,2,International
4234,2,International
4235,2,International
4236,2,International
4239,2,International
4450,17,Folk
4507,2,International
4508,2,International
4509,2,International
4510,2,International
4511,2,International
4519,15,Electronic
4520,15,Electronic
4521,15,Electronic
4522,15,Electronic
4682,21,Hip-Hop
4684,21,Hip-Hop
4685,21,Hip-Hop
4688,21,Hip-Hop
4777,12,Rock
4778,12,Rock
4779,12,Rock
4780,12,Rock
4781,12,Rock
4782,12,Rock
4784,12,Rock
4785,12,Rock
4786,12,Rock
4787,12,Rock
4788,12,Rock
4799,12,Rock
4835,12,Rock
4836,12,Rock
4838,12,Rock
4846,2,International
4848,2,International
4849,2,International
5006,12,Rock
5156,17,Folk
5157,17,Folk
5158,17,Folk
5159,17,Folk
5169,17,Folk
5170,17,Folk
5171,17,Folk
5191,10,Pop
5264,21,Hip-Hop
5268,21,Hip-Hop
5376,17,Folk
5381,17,Folk
5521,38,Experimental
5879,17,Folk
5936,17,Folk
5940,17,Folk
6329,2,International
6330,2,International
6331,2,International
6332,2,International
6333,2,International
6342,2,International
6354,2,International
6357,2,International
6358,2,International
6360,2,International
6363,2,International
6366,2,International
6367,2,International
6368,2,International
6370,2,International
6372,2,International
6373,2,International
6376,2,International
6379,2,International
6380,2,International
6381,2,International
6382,2,International
6383,2,International
6385,2,International
6387,2,International
6389,2,International
